data_name,model_name,params,silhouette,error
UMAP,kmeans_clustering,{'k': 4},0.3722516298294067,
UMAP,kmeans_clustering,{'k': 6},0.4335369765758514,
UMAP,kmeans_clustering,{'k': 8},0.4552537202835083,
UMAP,kmeans_clustering,{'k': 10},0.4051561653614044,
UMAP,gmm_clustering,{'k': 4},0.5091041326522827,
UMAP,gmm_clustering,{'k': 6},0.4294403195381164,
UMAP,gmm_clustering,{'k': 8},0.4648723602294922,
UMAP,gmm_clustering,{'k': 10},0.4241923391819,
UMAP,agglomerative_clustering,"{'k': 4, 'linkage': 'complete', 'metric': 'euclidean'}",0.3519161641597748,
UMAP,agglomerative_clustering,"{'k': 4, 'linkage': 'complete', 'metric': 'manhattan'}",0.3552287220954895,
UMAP,agglomerative_clustering,"{'k': 4, 'linkage': 'complete', 'metric': 'cosine'}",0.5161524415016174,
UMAP,agglomerative_clustering,"{'k': 4, 'linkage': 'average', 'metric': 'euclidean'}",0.4996734857559204,
UMAP,agglomerative_clustering,"{'k': 4, 'linkage': 'average', 'metric': 'manhattan'}",0.5206522345542908,
UMAP,agglomerative_clustering,"{'k': 4, 'linkage': 'average', 'metric': 'cosine'}",0.5227250456809998,
UMAP,agglomerative_clustering,"{'k': 4, 'linkage': 'single', 'metric': 'euclidean'}",0.3399829566478729,
UMAP,agglomerative_clustering,"{'k': 4, 'linkage': 'single', 'metric': 'manhattan'}",0.3399829566478729,
UMAP,agglomerative_clustering,"{'k': 4, 'linkage': 'single', 'metric': 'cosine'}",0.3399829566478729,
UMAP,agglomerative_clustering,"{'k': 6, 'linkage': 'complete', 'metric': 'euclidean'}",0.4331779181957245,
UMAP,agglomerative_clustering,"{'k': 6, 'linkage': 'complete', 'metric': 'manhattan'}",0.4229122102260589,
UMAP,agglomerative_clustering,"{'k': 6, 'linkage': 'complete', 'metric': 'cosine'}",0.4142510294914245,
UMAP,agglomerative_clustering,"{'k': 6, 'linkage': 'average', 'metric': 'euclidean'}",0.428343266248703,
UMAP,agglomerative_clustering,"{'k': 6, 'linkage': 'average', 'metric': 'manhattan'}",0.4162768423557281,
UMAP,agglomerative_clustering,"{'k': 6, 'linkage': 'average', 'metric': 'cosine'}",0.4141218364238739,
UMAP,agglomerative_clustering,"{'k': 6, 'linkage': 'single', 'metric': 'euclidean'}",0.1955042034387588,
UMAP,agglomerative_clustering,"{'k': 6, 'linkage': 'single', 'metric': 'manhattan'}",0.1969959884881973,
UMAP,agglomerative_clustering,"{'k': 6, 'linkage': 'single', 'metric': 'cosine'}",0.1955042034387588,
UMAP,agglomerative_clustering,"{'k': 8, 'linkage': 'complete', 'metric': 'euclidean'}",0.4559038579463959,
UMAP,agglomerative_clustering,"{'k': 8, 'linkage': 'complete', 'metric': 'manhattan'}",0.4076044857501983,
UMAP,agglomerative_clustering,"{'k': 8, 'linkage': 'complete', 'metric': 'cosine'}",0.437530368566513,
UMAP,agglomerative_clustering,"{'k': 8, 'linkage': 'average', 'metric': 'euclidean'}",0.4364224672317505,
UMAP,agglomerative_clustering,"{'k': 8, 'linkage': 'average', 'metric': 'manhattan'}",0.439165860414505,
UMAP,agglomerative_clustering,"{'k': 8, 'linkage': 'average', 'metric': 'cosine'}",0.4335764050483703,
UMAP,agglomerative_clustering,"{'k': 8, 'linkage': 'single', 'metric': 'euclidean'}",-0.0240492727607488,
UMAP,agglomerative_clustering,"{'k': 8, 'linkage': 'single', 'metric': 'manhattan'}",-0.0454682819545269,
UMAP,agglomerative_clustering,"{'k': 8, 'linkage': 'single', 'metric': 'cosine'}",-0.0454682819545269,
UMAP,agglomerative_clustering,"{'k': 10, 'linkage': 'complete', 'metric': 'euclidean'}",0.4350003898143768,
UMAP,agglomerative_clustering,"{'k': 10, 'linkage': 'complete', 'metric': 'manhattan'}",0.440444141626358,
UMAP,agglomerative_clustering,"{'k': 10, 'linkage': 'complete', 'metric': 'cosine'}",0.4428407847881317,
UMAP,agglomerative_clustering,"{'k': 10, 'linkage': 'average', 'metric': 'euclidean'}",0.4452694356441498,
UMAP,agglomerative_clustering,"{'k': 10, 'linkage': 'average', 'metric': 'manhattan'}",0.4125840365886688,
UMAP,agglomerative_clustering,"{'k': 10, 'linkage': 'average', 'metric': 'cosine'}",0.4431003928184509,
UMAP,agglomerative_clustering,"{'k': 10, 'linkage': 'single', 'metric': 'euclidean'}",-0.1050604283809661,
UMAP,agglomerative_clustering,"{'k': 10, 'linkage': 'single', 'metric': 'manhattan'}",-0.0656709000468254,
UMAP,agglomerative_clustering,"{'k': 10, 'linkage': 'single', 'metric': 'cosine'}",-0.0765801668167114,
UMAP,spectral_clustering,"{'k': 4, 'affinity': 'rbf'}",0.3399829566478729,
UMAP,spectral_clustering,"{'k': 4, 'affinity': 'nearest_neighbors'}",-0.0272526126354932,
UMAP,spectral_clustering,"{'k': 6, 'affinity': 'rbf'}",0.4150223135948181,
